Intervention name,Year of original assessment,Original CE estimate (x cash),Original reason deprioritized,Likelihood worth revisiting (H/M/L),Updated rough CE estimate (x cash),Confidence in updated estimate (H/M/L),Reason
Rheumatic heart disease prevention,2021,58.6x,Investigation paused — skepticism about cost estimate and modeling complexity,H,~26x (best guess; range 16-54x),L,WHO published first formal clinical guideline on RF/RHD in Nov 2024 (GRADE methodology; strong recommendation for empirical antibiotic treatment in endemic LMIC settings). GBD 2021 shows India burden ~29% higher than assumed (166k vs 129k deaths). 2023 Lancet India CEA finds secondary prevention cost-effective at ~$30/QALY. BOTEC includes 3x cost multiplier and benefit-stream adjustments. Cost remains the pivotal unknown. See writeup.
Uterotonics for prevention of postpartum hemorrhage,2017,Not calculated (BOTEC incomplete; naive misoprostol estimate ~$700/life not credible — no mortality evidence),No mortality evidence for misoprostol; TXA trial results not yet published at time of writing,M,~3x (best guess; range 2-7x depending on program costs),L,Rebuilt BOTEC models bundled HSC+TXA program at $2/birth. TXA now WHO-recommended for treatment (not prevention) with confirmed effect (WOMAN trial RR 0.81; 2024 Lancet meta-analysis OR 0.77). HSC is new WHO-recommended product ($0.31/ampoule). CE highly sensitive to per-birth cost — at $1/birth reaches ~6.5x. AMPLI-PPHI cost data (expected mid-2026) would resolve key uncertainty. See writeup.
ProCCM,2017,~$3777/death averted (Ghana iCCM proxy — multiples of cash not computed but likely ~5–7x based on moral weights),Not cost-effective enough (likely near but below 8x bar); conflicting evidence (Ghana vs. Burkina Faso RCTs),L,~5–7x (no material change),L,ProCCM RCT (Mali 2017-2020) found no mortality benefit from proactive home visits specifically vs. control arm (both arms received professional CHWs + reinforced clinics). Muso Health observational data (2008-2015) shows dramatic U5MR decline (154→7/1000) at ~$8/person/year but no control group. GiveWell has independently reviewed iCCM and deprioritized it. No new evidence materially raises CE estimate.
Ponseti method clubfoot treatments,2022,~10–12x (writeup says 10x; BOTEC yields 12x),Weak evidence quality (Cochrane 2020: insufficient evidence to compare Ponseti to traditional techniques); high uncertainty about long-term effectiveness (~47% relapse rate at 10 years),L,~8x (GiveWell's 2023 estimate),M,"GiveWell already investigated in depth and awarded a $5.2M grant to MiracleFeet in Jan 2023, estimating CE at ~8x (slightly below 10x bar). Cost per case ($530) is higher than the 2022 QEA assumed ($414). Evidence quality has not improved — still no RCTs of Ponseti vs. untreated controls. 2024 systematic review confirms wide success range (55–100%) and relapse range (3–34%). M&E study underway (GiveWell $600k grant; results expected ~2027) is the next decision-relevant inflection point. No new WHO guidelines on clubfoot."
Diabetes prevention programs (K-DPP),2022,0.62x,Not cost-effective (CE an order of magnitude below bar); non-significant RCT result (RR 0.88 p=0.36); uncertain DALY burden from preventing diabetes short-term,L,~0.6–1x (no material change),L,"No material developments since 2022. The K-DPP RCT (2018) remains the sole trial; its 12% diabetes reduction is non-significant (p=0.36). A 9-year follow-up study is underway (protocol published March 2023) but results are not yet published. GBD 2021 confirms growing diabetes burden in LMICs (DALYs up ~42%) but this does not help CE arithmetic — the intervention effect is too small and the DALY-per-case-prevented estimate (speculatively 1) too uncertain. Even at 10 DALYs per case prevented the CE would only reach ~6x. The gap to 8x is too large to bridge with plausible parameter changes."
Flood-tolerant rice in South Asia,2022,3.7x (standalone door-to-door); 9.9x (threshold with mobile platform),Not cost-effective as standalone program; CE highly dependent on delivery platform cost; limited RFMF (~$32M one-time in India),L,~4x standalone / ~10x via platform (no material change),L,"Standalone CE (3.7x) far below bar. Platform delivery (PxD) threshold analysis (9.9x) barely clears 8x and depends on PxD cost structure. Some favorable updates: (1) no yield penalty in non-flood years confirmed (removes a key downside risk); (2) PxD actively distributing Swarna-Sub1 in West Bengal; (3) climate change increasing flood frequency. But GiveWell is already investigating PxD separately (scoping grant $540k March 2022) — flood-tolerant rice bundling would be part of that broader evaluation. Adoption still low (~1% in Bangladesh per DNA fingerprinting). Next-gen varieties surviving 3+ weeks submergence in development but not yet deployed. Not worth independent investigation."
Legislation for road traffic safety,2022,~13x median across 5 countries (range 5–38x; India outlier at 38x),Speculative — CE model borrowed from alcohol policy BOTEC with minimal adaptation; uncertain enforcement costs; Bloomberg already heavily funding road safety,L,~8–12x (likely lower than original due to reduced neglectedness),L,"Space has become less neglected since 2022: Bloomberg doubled commitment to $240M (2020-2025) covering 16 countries including Brazil/Egypt/Ethiopia/India — the same countries modeled in the QEA. Original CE highly speculative (parameters borrowed from alcohol policy model; key inputs like 35% advocacy success rate and 4% burden reduction are guesses). Government enforcement costs were likely underestimated (-20% adjustment; CE report notes enforcement can increase $/DALY up to 10x). India (38x) drives most of CE but Bloomberg already active there (Mumbai/Delhi/Bengaluru). Rethink Priorities found some niche remaining opportunities (Pakistan/Thailand) but overall space is well-funded. GBD 2021: 1.2M deaths/65M DALYs unchanged. Not worth independent investigation — limited counterfactual impact given Bloomberg dominance."
Oral azithromycin during labor,2022,~12x (threshold analysis assuming ≥7% neonatal+maternal mortality reduction),Pending trial results — original was threshold analysis only; flagged for revisit in early 2023,M,~4x at $3/pregnancy in Nigeria (range ~2x at $7 to ~9x at $1.50; highly cost-sensitive),L,"A-PLUS trial (NEJM 2023 n=29278) found strong maternal benefit (RR 0.67 for maternal sepsis/death; 95% CI 0.56-0.79) but null neonatal result (RR 1.02). PregnAnZI-2 confirmed neonatal null. Neonatal mortality drove 66-86% of original CE — now zero. Maternal effect is 4x larger than assumed (33% vs 8%) but applies to relatively few deaths per pregnancy. CE in high-MMR settings (Nigeria 735/100k) could reach 8x+ at low delivery costs ($1.50/pregnancy). Drug costs only $0.91/dose. Lancet Global Health 2025 CEA finds cost-saving from health system perspective. No WHO recommendation yet; AMR concerns remain. See writeup."
Phone audits to improve government service delivery,2022,0.15x,Not cost-effective — underlying cash transfer program in middle-income India is far less CE than GiveDirectly; leverage framing yields negative CE by standard assumptions; no identifiable implementer for TA,L,~0.15x (no material change),M,"No material developments since 2022. The original RCT (Muralidharan et al. 2021; published AEJ:Applied 2021) found a 1.34pp increase in check encashment (p=0.037) at $0.036 per additional dollar delivered. However CE is 0.15x because the underlying program (cash transfers in Telangana; per capita income $2817) is not cost-effective by GW standards. The research team has expanded to Pakistan and Paraguay via J-PAL but no new published results. No organization identified to provide TA for this approach. The concept of phone monitoring for GW-relevant programs (e.g. health service delivery in SSA) is interesting in principle but entirely speculative — no evidence on health outcomes and no concrete pathway to a fundable opportunity."
CCTs for antenatal care facility delivery and postnatal care,2022,~4x (full package) / ~7x (ANC-only),Below 8x bar; based on single Nigerian RCT (Okeke & Abubakar 2020); highly uncertain costs and program design; no clear implementer at scale,L,~4–7x (no material change),L,"No material developments since 2022. The sole RCT with mortality outcomes (Okeke & Abubakar 2020 Nigeria n=10852) found a 29% reduction in miscarriages and 23% reduction in stillbirths from a $14 CCT. But CE at 4x (full package) or 7x (ANC-only) is below the 8x bar. Costs are highly uncertain ($85/woman for full package including admin costs). The Afya trial in Kenya (2022 results) found CCTs for maternal health were not cost-effective (INT$1035 per additional ANC visit). No new RCTs with mortality outcomes since the original. New Incentives demonstrates CCTs work for immunization (9-38x) but that is a different mechanism. GBD 2021 confirms SSA stillbirth burden remains very high (77% of global total) but this does not help CE arithmetic. Even ANC-only at 7x does not clear bar and requires strong assumptions about neonatal mortality reduction from observational data."
Antenatal corticosteroids for preterm birth,2020,~28x (crude BOTEC using HIC effect size with no IV/EV adjustment),Postpone — only LMIC trial (ACT 2014) showed harm from overtreatment; flagged for revisit when follow-up trials report,M,~10–20x (highly dependent on program implementation costs; range ~6x at $100/woman to ~39x at $10/woman),L,"The evidence has shifted dramatically since the original QEA. The WHO ACTION-I trial (NEJM 2020 n=2852 across Bangladesh/India/Kenya/Nigeria/Pakistan) found ACS reduced neonatal death by 16% (RR 0.84; 95% CI 0.72-0.97) in properly targeted hospital settings — resolving the key concern from the ACT trial (which showed harm due to overtreatment of non-preterm births). WHO updated ACS guidelines in 2022 based on ACTION-I. Cost-effectiveness analysis found ACS cost-saving in all 5 trial countries. But implementation gap is massive (~10% of LMIC facilities provide ACS). No clear philanthropic entry point — scale-up requires ultrasound dating capacity + trained staff + adequate neonatal care. Program-level costs are the pivotal unknown. See writeup."
Rabies dog vaccination (MDV + PEP),2022,~9x (average over 13 years; range 1x in Phase I to 11x in Phase III),Back-loaded CE (Phase I ~3x); long timeframe (13 years for DRC); no RCTs — evidence entirely from models and retrospective evaluations; high implementation risk,L,~9–14x (improved by GAVI PEP support but still back-loaded and uncertain),L,"Original CE model was well-constructed but based entirely on hypothetical 13-year DRC program with no experimental evidence. Major update: GAVI announced support for human rabies PEP in 50+ countries (June 2024) — reduces early-year program costs by ~60% since PEP was 60% of Phase I costs. This could raise average CE from ~9x to ~14x. 2023 Nature Communications analysis confirms large welfare gains ($9.5B over 30 years) from coordinated African vaccination. But: (1) still no RCTs linking MDV to human mortality; (2) 13-year sustained commitment required; (3) Phase I CE still marginal even with GAVI (~3–5x); (4) Zero by 30 progress is slow; (5) RFMF has decreased with GAVI entry and GARC/WHO coordination. Per-dog vaccination costs may be lower than assumed (~$2.70-2.85 vs $4.43 in BOTEC). Not worth independent investigation given lack of experimental evidence and reduced neglectedness."
LPG cookstoves,2022,Not available (original QEA/BOTEC inaccessible due to auth issue),Unclear from original — likely flagged due to weak evidence base and implementation challenges,L,Not cost-effective (no evidence of health benefit from RCTs),M,"Two large RCTs have now definitively shown that LPG cookstove interventions do not reduce child health outcomes. The HAPIN trial (NEJM 2024 n=3200 across Guatemala/India/Peru/Rwanda) found no effect on severe infant pneumonia birthweight or stunting. The GRAPHS trial (Ghana) similarly found no significant effect on birthweight or pneumonia. GiveWell has independently investigated clean cookstoves and concluded it is not a priority program due to lack of clear evidence of effectiveness at reducing health problems. Key implementation barriers include low adoption rates inadequate air quality improvements (PM2.5 still far above WHO standards even with LPG) and low sustained usage. There is no plausible pathway to cost-effective health impact from this intervention."
