Parameter,Value,Source / notes
Costs,Value,Source / notes
Grant amount,"$1,000,000",Arbitrary anchor
MMS tablet cost per pregnancy (180 tablets),$2.13,Kirk Humanitarian procurement: $0.0118/dose x 180 tablets
IFA tablet cost per pregnancy (180 tablets),$1.80,Estimate; IFA typically ~$0.01/tablet
Incremental commodity cost per pregnancy (MMS - IFA),$0.33,Calculation
Programmatic/transition costs per pregnancy,$2.67,Estimate; original QEA used $3. Reduced given Kirk scale-up experience.
Total incremental cost per pregnancy (MMS vs IFA),$3.00,Calculation
Pregnancies covered by grant,"333,333",Calculation
Burden & effect,,
Baseline LBW rate (South Asia),28%,South Asia has the highest LBW rates globally (~28%)
Relative risk of LBW with MMS vs IFA,0.88,"2019 Cochrane review: RR 0.88 (95% CI 0.85-0.91), 18 trials, I²=0%"
Percent reduction in LBW,12%,Calculation
Expected LBW births averted,"11,200",Calculation
Benefits,,
Moral weight per LBW averted (UoV),3,Rough guess from original QEA (borrowed from syphilis CEA)
UoV from LBW reduction,"33,600",Calculation
Adjustment for excluded child effects,1.3,"Lower morbidity, developmental effects beyond LBW (original estimate)"
UoV before IV/EV adjustments,"43,680",Calculation
Adjustments,,
Internal validity adjustment,100%,"High-quality evidence: 18 RCTs, I²=0%, Cochrane rated high quality"
External validity adjustment,75%,Adherence concern partially addressed by scale-up (original: 0.7)
UoV after adjustments,"32,760",Calculation
Final CE,,
GW benchmark (UoV per $100k at 1x cash),344,344 UoV per $100k = 1x cash transfers
CE (best guess),9.5,Calculation: total UoV / (grant/100k * benchmark)
Sensitivity: CE at different costs per pregnancy,,
CE at $2/pregnancy (efficient IFA→MMS switch),14.3,
CE at $3/pregnancy (best guess),9.5,
CE at $4/pregnancy (original QEA estimate),7.1,
CE at $6/pregnancy (comprehensive new program),4.8,
Sensitivity: CE at different moral weights for LBW,,
CE at MW=2 for LBW,6.3,
CE at MW=3 for LBW (best guess),9.5,
CE at MW=4 for LBW,12.7,
